Portoflio Code;Porfoltio Name;Porfolio Currency;Holding Date;Category;Line Status;Associated Contract;Holding status;Asset Code;Asset Name;Tools Code;Quantity;Price;Market Value;Accruals;Currency;Exchange Rate;Future Exposure;Product Code;Asset Class Classifier;Instrument Type;Instrument Type Name
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw01G8;Name_frw01G8;frw01G8;72470.88342;;-757.6713054;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw01UH;Name_frw01UH;frw01UH;1272192.14;;11419.88099;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw01VY;Name_frw01VY;frw01VY;52944.01113;;90.59371123;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw01WK;Name_frw01WK;frw01WK;2101906.933;;9206.277708;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw01ZR;Name_frw01ZR;frw01ZR;59726.26696;;-244.4070395;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw01ZU;Name_frw01ZU;frw01ZU;1617904.388;;-21593.22918;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw020N;Name_frw020N;frw020N;1652242.874;;-11141.45389;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw020R;Name_frw020R;frw020R;621140.5372;;-3874.588085;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02EV;Name_frw02EV;frw02EV;1231714.39;;664.5330046;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02G8;Name_frw02G8;frw02G8;202107.1573;;390.2625985;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02G9;Name_frw02G9;frw02G9;7491.089985;;-96.50474542;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02JU;Name_frw02JU;frw02JU;880613.499;;8334.558213;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02JV;Name_frw02JV;frw02JV;15488806.18;;9094.307864;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02JZ;Name_frw02JZ;frw02JZ;1450466.387;;3806.405728;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02K3;Name_frw02K3;frw02K3;2508266.795;;8419.138159;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02K4;Name_frw02K4;frw02K4;3924210.174;;30882.22185;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02K6;Name_frw02K6;frw02K6;1057618465;;48092.87752;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02K7;Name_frw02K7;frw02K7;1287511.178;;-7945.56791;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02KS;Name_frw02KS;frw02KS;2246267.522;;-17399.17656;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02UA;Name_frw02UA;frw02UA;118915.8626;;-1033.150787;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02UD;Name_frw02UD;frw02UD;773587.492;;-5647.629659;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02UF;Name_frw02UF;frw02UF;31374923.56;;-229054.8825;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw02UK;Name_frw02UK;frw02UK;148091.7554;;-11.65611689;;;;;;yyyy;xxxx;Forward Exchange
111111;Ptf_1111111;EUR;21/11/2024;CAT;;;NOR;frw030Z;Name_frw030Z;frw030Z;741044.3249;;6023.407063;;;;;;yyyy;xxxx;Forward Exchange
